DIR,CPU_TIME,MEM_RSS
hec-parse/cribl,141.74,514678784
syslog-parse/cribl,106.32,335896576
syslog-parse-update/cribl,117.91,336433152
syslog-parse-update-send/cribl,295.75,339005440
tcpjson-parse/cribl,103.2,387649536
syslog-parse/fluentbit,212.95,158023680
syslog-parse-update/fluentbit,393.65,6127616
syslog-parse-update-send/fluentbit,723.27,47616000
tcpjson-parse/fluentbit,91.82,12951552
syslog-parse/logstash,2340.32,970174464
syslog-parse-update/logstash,2503.23,965672960
syslog-parse-update-send/logstash,4857.75,1005998080
tcpjson-parse/logstash,257.88,936804352
hec-parse/splunk,157.25,213401600
syslog-parse/splunk,435.34,194809856
syslog-parse-update/splunk,440.75,195731456
syslog-parse-update-send/splunk,586.25,198111232
tcpjson-parse/splunk,348.65,191008768
syslog-parse/syslog-ng,140.41,1277952
syslog-parse-update/syslog-ng,155.89,1277952
syslog-parse-update-send/syslog-ng,293.42,1310720
hec-parse/vector,159.31,22568960
syslog-parse/vector,699.27,19390464
syslog-parse-update/vector,1042.05,21958656
syslog-parse-update-send/vector,1119.26,22822912
tcpjson-parse/vector,156.77,17178624
