DIR,CPU_TIME,MEM_RSS
hec-parse/cribl,145.47,470118400
syslog-parse/cribl,107.52,340987904
syslog-parse-update/cribl,119.41,348676096
syslog-parse-update-send/cribl,297.74,345358336
tcpjson-parse/cribl,104.71,406437888
syslog-parse/fluentbit,233.68,12222464
syslog-parse-update/fluentbit,410.5,43446272
syslog-parse-update-send/fluentbit,726.46,22048768
tcpjson-parse/fluentbit,94.72,117432320
syslog-parse/logstash,4464.83,999284736
syslog-parse-update/logstash,2465.24,990629888
syslog-parse-update-send/logstash,4919.45,1217552384
tcpjson-parse/logstash,260.31,920612864
hec-parse/splunk,16213,0
syslog-parse/splunk,16213,0
syslog-parse-update/splunk,16213,0
syslog-parse-update-send/splunk,16213,0
tcpjson-parse/splunk,16213,0
syslog-parse/syslog-ng,128.29,1343488
syslog-parse-update/syslog-ng,146.59,1560576
syslog-parse-update-send/syslog-ng,290.57,1626112
hec-parse/vector,159.35,18137088
syslog-parse/vector,707.54,19423232
syslog-parse-update/vector,1050.59,22007808
syslog-parse-update-send/vector,1100.94,22425600
tcpjson-parse/vector,158.04,19787776
