DIR,CPU_TIME,MEM_RSS
hec-parse/cribl,141.82,549421056
syslog-parse/cribl,104.67,327720960
syslog-parse-update/cribl,115.88,327229440
syslog-parse-update-send/cribl,296.07,330936320
tcpjson-parse/cribl,101.33,384663552
syslog-parse/fluentbit,213.87,22421504
syslog-parse-update/fluentbit,395.95,54480896
syslog-parse-update-send/fluentbit,716.07,14704640
tcpjson-parse/fluentbit,91.66,10489856
syslog-parse/logstash,4180.81,1204436992
syslog-parse-update/logstash,4321.09,1097822208
syslog-parse-update-send/logstash,2944.96,1082810368
tcpjson-parse/logstash,256.03,1048023040
hec-parse/splunk,153.38,192733184
syslog-parse/splunk,428.14,196386816
syslog-parse-update/splunk,432.57,196902912
syslog-parse-update-send/splunk,587.95,197750784
tcpjson-parse/splunk,338.55,191676416
syslog-parse/syslog-ng,128.15,1425408
syslog-parse-update/syslog-ng,147.16,1318912
syslog-parse-update-send/syslog-ng,301.27,1712128
hec-parse/vector,160.18,23506944
syslog-parse/vector,718.59,20779008
syslog-parse-update/vector,1062.87,21950464
syslog-parse-update-send/vector,1103.57,22884352
tcpjson-parse/vector,155.03,20201472
