DIR,CPU_TIME,MEM_RSS
hec-parse/cribl,146.07,590753792
syslog-parse/cribl,106.42,343195648
syslog-parse-update/cribl,119.31,348123136
syslog-parse-update-send/cribl,293.42,339431424
tcpjson-parse/cribl,104.5,409092096
syslog-parse/fluentbit,235.08,38768640
syslog-parse-update/fluentbit,405.58,44867584
syslog-parse-update-send/fluentbit,737.84,44261376
tcpjson-parse/fluentbit,93.3,51032064
syslog-parse/logstash,2341.91,1161146368
syslog-parse-update/logstash,4544.07,978325504
syslog-parse-update-send/logstash,5116.83,1201729536
tcpjson-parse/logstash,262.82,967286784
hec-parse/splunk,157.98,192032768
syslog-parse/splunk,418.31,196304896
syslog-parse-update/splunk,436.79,197107712
syslog-parse-update-send/splunk,607.37,204324864
tcpjson-parse/splunk,351.56,193257472
syslog-parse/syslog-ng,135.24,1130496
syslog-parse-update/syslog-ng,154.2,1355776
syslog-parse-update-send/syslog-ng,302.8,1769472
hec-parse/vector,159.56,21889024
syslog-parse/vector,702.53,19398656
syslog-parse-update/vector,1047.88,21815296
syslog-parse-update-send/vector,1110.72,23273472
tcpjson-parse/vector,157.51,19992576
