DIR,CPU_TIME,MEM_RSS
syslog-parse/cribl,109.02,334782464
syslog-parse-update/cribl,119.53,340557824
syslog-parse-update-send/cribl,303.87,333815808
syslog-parse/fluentbit,214.41,17915904
syslog-parse-update/fluentbit,391.84,73981952
syslog-parse-update-send/fluentbit,722.56,41373696
syslog-parse/logstash,2269.54,1057550336
syslog-parse-update/logstash,4535.44,1245036544
syslog-parse-update-send/logstash,2914.89,1053417472
syslog-parse/splunk,449.66,196521984
syslog-parse-update/splunk,460.89,196304896
syslog-parse-update-send/splunk,630,196681728
syslog-parse/syslog-ng,131.99,1323008
syslog-parse-update/syslog-ng,150.35,1310720
syslog-parse-update-send/syslog-ng,318.32,1687552
syslog-parse/vector,752.83,18522112
syslog-parse-update/vector,1126.37,21946368
syslog-parse-update-send/vector,1178.44,22601728
